sim_threshold,min_k,max_candidates,weight_emb,weight_cert,precision_at_k,recall_at_k,mrr_at_k
0.55,2,30,0.75,0.25,0.0,1.0,0.0
0.55,2,30,0.6,0.4,0.0,1.0,0.0
0.55,2,40,0.75,0.25,0.0,1.0,0.0
0.55,2,40,0.6,0.4,0.0,1.0,0.0
0.55,3,30,0.75,0.25,0.0,1.0,0.0
0.55,3,30,0.6,0.4,0.0,1.0,0.0
0.55,3,40,0.75,0.25,0.0,1.0,0.0
0.55,3,40,0.6,0.4,0.0,1.0,0.0
0.55,4,30,0.75,0.25,0.0,1.0,0.0
0.55,4,30,0.6,0.4,0.0,1.0,0.0
0.55,4,40,0.75,0.25,0.0,1.0,0.0
0.55,4,40,0.6,0.4,0.0,1.0,0.0
0.65,2,30,0.75,0.25,0.0,1.0,0.0
0.65,2,30,0.6,0.4,0.0,1.0,0.0
0.65,2,40,0.75,0.25,0.0,1.0,0.0
0.65,2,40,0.6,0.4,0.0,1.0,0.0
0.65,3,30,0.75,0.25,0.0,1.0,0.0
0.65,3,30,0.6,0.4,0.0,1.0,0.0
0.65,3,40,0.75,0.25,0.0,1.0,0.0
0.65,3,40,0.6,0.4,0.0,1.0,0.0
0.65,4,30,0.75,0.25,0.0,1.0,0.0
0.65,4,30,0.6,0.4,0.0,1.0,0.0
0.65,4,40,0.75,0.25,0.0,1.0,0.0
0.65,4,40,0.6,0.4,0.0,1.0,0.0
0.75,2,30,0.75,0.25,0.0,1.0,0.0
0.75,2,30,0.6,0.4,0.0,1.0,0.0
0.75,2,40,0.75,0.25,0.0,1.0,0.0
0.75,2,40,0.6,0.4,0.0,1.0,0.0
0.75,3,30,0.75,0.25,0.0,1.0,0.0
0.75,3,30,0.6,0.4,0.0,1.0,0.0
0.75,3,40,0.75,0.25,0.0,1.0,0.0
0.75,3,40,0.6,0.4,0.0,1.0,0.0
0.75,4,30,0.75,0.25,0.0,1.0,0.0
0.75,4,30,0.6,0.4,0.0,1.0,0.0
0.75,4,40,0.75,0.25,0.0,1.0,0.0
0.75,4,40,0.6,0.4,0.0,1.0,0.0
